Paper-ID,Title,url,Year,Venue,Authors,Type of Data,Type of Problem,Type of Model to be Explained,Type of Task,Type of Explanation,Method used to explain,Should the paper be included?,Should the paper be included with filter?
icml/JinBJ20a,Multi-Objective Molecule Generation using Interpretable Substructures.,http://proceedings.mlr.press/v119/jin20b.html,2020,ICML,"Wengong Jin, Regina Barzilay, Tommi S. Jaakkola",Graph data,Transparent Box Design,(Deep) Neural Network,Generation,Prototypes,Interpretability built into the predictive model,Yes,Yes
icml/LakkarajuAB20,Robust and Stable Black Box Explanations.,http://proceedings.mlr.press/v119/lakkaraju20a.html,2020,ICML,"Himabindu Lakkaraju, Nino Arsov, Osbert Bastani",Tabular / structured,Model Explanation,"(Deep) Neural Network, Tree Ensemble, Support Vector Machine, Any (for a specific task); model-agnostic",Classification,"Decision Rules, White-box model",Post-hoc explanation method,Yes,Yes
icml/MoshkovitzDRF20,Explainable k-Means and k-Medians Clustering.,http://proceedings.mlr.press/v119/moshkovitz20a.html,2020,ICML,"Michal Moshkovitz, Sanjoy Dasgupta, Cyrus Rashtchian, Nave Frost",Tabular / structured,Transparent Box Design,Other,Clustering,Decision Tree,Interpretability built into the predictive model,Yes,Yes
icml/ParkCZYY20,Multiresolution Tensor Learning for Efficient and Interpretable Spatial Analysis.,http://proceedings.mlr.press/v119/park20a.html,2020,ICML,"Jung Yeon Park, Kenneth Theo Carr, Stephan Zheng, Yisong Yue, Rose Yu","Tabular / structured, Images",Model Inspection,(Deep) Neural Network,"Classification, Regression",Heatmap,Post-hoc explanation method,Yes,Yes
icml/PlumbTST20,Explaining Groups of Points in Low-Dimensional Representations.,http://proceedings.mlr.press/v119/plumb20a.html,2020,ICML,"Gregory Plumb, Jonathan Terhorst, Sriram Sankararaman, Ameet Talwalkar",Tabular / structured,Model Inspection,(Deep) Neural Network,Representation learning,"Feature Importance, Representation Visualization",Post-hoc explanation method,Yes,Yes
icml/QuinnNR0V20,DeepCoDA - personalized interpretability for compositional health data.,http://proceedings.mlr.press/v119/quinn20a.html,2020,ICML,"Thomas P. Quinn, Dang Nguyen, Santu Rana, Sunil Gupta 0001, Svetha Venkatesh",Tabular / structured,Transparent Box Design,(Deep) Neural Network,Classification,White-box model,Interpretability built into the predictive model,Yes,Yes
icml/ShiZM020,Dispersed Exponential Family Mixture VAEs for Interpretable Text Generation.,http://proceedings.mlr.press/v119/shi20f.html,2020,ICML,"Wenxian Shi, Hao Zhou, Ning Miao, Lei Li 0005",Text,Model Inspection,(Deep) Neural Network,Generation,Disentanglement,Interpretability built into the predictive model,Yes,Yes
icml/VoynovB20,Unsupervised Discovery of Interpretable Directions in the GAN Latent Space.,http://proceedings.mlr.press/v119/voynov20a.html,2020,ICML,"Andrey Voynov, Artem Babenko",Images,Model Inspection,(Deep) Neural Network,Generation,Disentanglement,Post-hoc explanation method,Yes,Yes
ijcai/AlbiniRBT20,Relation-Based Counterfactual Explanations for Bayesian Network Classifiers.,https://doi.org/10.24963/ijcai.2020/63,2020,IJCAI,"Emanuele Albini, Antonio Rago 0001, Pietro Baroni, Francesca Toni",Tabular / structured,Outcome Explanation,Bayesian or Hierarchical Network,Classification,Graph,Post-hoc explanation method,Yes,Yes
ijcai/BeyazitTYT020,Learning Interpretable Representations with Informative Entanglements.,https://doi.org/10.24963/ijcai.2020/273,2020,IJCAI,"Ege Beyazit, Doruk Tuncel, Xu Yuan, Nian-Feng Tzeng, Xindong Wu 0001",Images,Model Inspection,"(Deep) Neural Network, Any (for a specific task); model-agnostic","Representation learning, Generation",Disentanglement,Interpretability built into the predictive model,Yes,Yes
ijcai/ChenW0PSAC20,Towards Explainable Conversational Recommendation.,https://doi.org/10.24963/ijcai.2020/414,2020,IJCAI,"Zhongxia Chen, Xiting Wang, Xing Xie 0001, Mehul Parsana, Akshay Soni, Xiang Ao, Enhong Chen",User-item matrix,Outcome Explanation,"(Deep) Neural Network, Other",Recommendation,Text,Post-hoc explanation method,Yes,Yes
ijcai/CiravegnaGGMM20,Human-Driven FOL Explanations of Deep Learning.,https://doi.org/10.24963/ijcai.2020/309,2020,IJCAI,"Gabriele Ciravegna, Francesco Giannini, Marco Gori, Marco Maggini, Stefano Melacci",Images,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,Decision Rules,Interpretability built into the predictive model,Yes,Yes
ijcai/KanamoriTKA20,DACE - Distribution-Aware Counterfactual Explanation by Mixed-Integer Linear Optimization.,https://doi.org/10.24963/ijcai.2020/395,2020,IJCAI,"Kentaro Kanamori, Takuya Takagi, Ken Kobayashi, Hiroki Arimura",Tabular / structured,Outcome Explanation,"Any (for a specific task); model-agnostic, Support Vector Machine, Tree Ensemble",Classification,Prototypes,Post-hoc explanation method,Yes,Yes
ijcai/LeL20,Synthesizing Aspect-Driven Recommendation Explanations from Reviews.,https://doi.org/10.24963/ijcai.2020/336,2020,IJCAI,"Trung-Hoang Le, Hady W. Lauw",User-item matrix,Outcome Explanation,Other,Recommendation,Text,"Post-hoc explanation method, Interpretability built into the predictive model",Yes,Yes
ijcai/LiFCLYS20,Recurrent Dirichlet Belief Networks for interpretable Dynamic Relational Data Modelling.,https://doi.org/10.24963/ijcai.2020/342,2020,IJCAI,"Yaqiong Li, Xuhui Fan, Ling Chen, Bin Li, Zheng Yu, Scott A. Sisson",Graph data,Transparent Box Design,Bayesian or Hierarchical Network,Classification,White-box model,Interpretability built into the predictive model,Yes,Yes
ijcai/RosaCN20,Explainable Inference on Sequential Data via Memory-Tracking.,https://doi.org/10.24963/ijcai.2020/278,2020,IJCAI,"Biagio La Rosa, Roberto Capobianco, Daniele Nardi",Other,Outcome Explanation,(Deep) Neural Network,Policy learning,Feature Importance,Post-hoc explanation method,Yes,Yes
ijcai/WangZ20a,Interpretable Multimodal Learning for Intelligent Regulation in Online Payment Systems.,https://doi.org/10.24963/ijcai.2020/645,2020,IJCAI,"Shuoyao Wang, Diwei Zhu","Tabular / structured, Text","Model Inspection, Outcome Explanation",(Deep) Neural Network,Retrieval,"Feature Importance, Feature plot",Post-hoc explanation method,Yes,Yes
ijcai/WuRYWN20,Evidence-Aware Hierarchical Interactive Attention Networks for Explainable Claim Verification.,https://doi.org/10.24963/ijcai.2020/193,2020,IJCAI,"Lianwei Wu, Yuan Rao, Xiong Yang, Wanzhen Wang, Ambreen Nazir","Text, Graph data, Other",Outcome Explanation,(Deep) Neural Network,Classification,Feature Importance,Interpretability built into the predictive model,Yes,Yes
kdd/GuoZQWSY20,Interpretable Deep Graph Generation with Node-edge Co-disentanglement.,https://doi.org/10.1145/3394486.3403221,2020,KDD,"Xiaojie Guo, Liang Zhao 0002, Zhao Qin, Lingfei Wu, Amarda Shehu, Yanfang Ye",Graph data,Model Inspection,(Deep) Neural Network,"Generation, Representation learning",Disentanglement,Interpretability built into the predictive model,Yes,Yes
kdd/LancianoBG20,Explainable Classification of Brain Networks via Contrast Subgraphs.,https://doi.org/10.1145/3394486.3403383,2020,KDD,"Tommaso Lanciano, Francesco Bonchi, Aristides Gionis","Images, Graph data",Model Inspection,Bayesian or Hierarchical Network,Classification,"Feature plot, Graph, Localization",Interpretability built into the predictive model,Yes,Yes
kdd/LeW020,GRACE - Generating Concise and Informative Contrastive Sample to Explain Neural Network Model's Prediction.,https://doi.org/10.1145/3394486.3403066,2020,KDD,"Thai Le, Suhang Wang, Dongwon Lee 0001",Tabular / structured,Outcome Explanation,(Deep) Neural Network,Classification,Text,Post-hoc explanation method,Yes,Yes
kdd/LiangBCBW20,Adversarial Infidelity Learning for Model Interpretation.,https://doi.org/10.1145/3394486.3403071,2020,KDD,"Jian Liang, Bing Bai, Yuren Cao, Kun Bai, Fei Wang","Images, Text, Time series, Any",Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,Localization,Post-hoc explanation method,Yes,Yes
kdd/TangLSSMW20,"Knowing your FATE - Friendship, Action and Temporal Explanations for User Engagement Prediction on Social Apps.",https://doi.org/10.1145/3394486.3403276,2020,KDD,"Xianfeng Tang, Yozen Liu, Neil Shah, Xiaolin Shi, Prasenjit Mitra, Suhang Wang",Graph data,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,"Feature Importance, Heatmap",Interpretability built into the predictive model,Yes,Yes
kdd/YuanTHJ20,XGNN - Towards Model-Level Explanations of Graph Neural Networks.,https://doi.org/10.1145/3394486.3403085,2020,KDD,"Hao Yuan, Jiliang Tang, Xia Hu, Shuiwang Ji",Graph data,Model Inspection,(Deep) Neural Network,Classification,Prototypes,Post-hoc explanation method,Yes,Yes
kdd/ZhangQ0LCZD20,INPREM - An Interpretable and Trustworthy Predictive Model for Healthcare.,https://doi.org/10.1145/3394486.3403087,2020,KDD,"Xianli Zhang, Buyue Qian, Shilei Cao 0001, Yang Li, Hang Chen, Yefeng Zheng, Ian Davidson","Tabular / structured, Time series",Outcome Explanation,(Deep) Neural Network,Classification,Feature plot,Interpretability built into the predictive model,Yes,Yes
nips/0001GCIN20,Explaining Naive Bayes and Other Linear Classifiers with Polynomial Time and Delay.,https://proceedings.neurips.cc/paper/2020/hash/eccd2a86bae4728b38627162ba297828-Abstract.html,2020,NeurIPS,"João Marques-Silva 0001, Thomas Gerspacher, Martin C. Cooper, Alexey Ignatiev, Nina Narodytska",Tabular / structured,"Model Inspection, Outcome Explanation",Bayesian or Hierarchical Network,Classification,Localization,Post-hoc explanation method,Yes,Yes
nips/ArikLYSELM0ZNSN20,Interpretable Sequence Learning for Covid-19 Forecasting.,https://proceedings.neurips.cc/paper/2020/hash/d9dbc51dc534921589adf460c85cd824-Abstract.html,2020,NeurIPS,"Sercan Ömer Arik, Chun-Liang Li, Jinsung Yoon, Rajarishi Sinha, Arkady Epshteyn, Long T. Le, Vikas Menon, Shashank Singh 0005, Leyou Zhang, Martin Nikoltchev, Yash Sonthalia, Hootan Nakhost, Elli Kanal, Tomas Pfister",Time series,Transparent Box Design,(Deep) Neural Network,Regression,White-box model,Interpretability built into the predictive model,Yes,Yes
nips/BassSSTSR20,ICAM - Interpretable Classification via Disentangled Representations and Feature Attribution Mapping.,https://proceedings.neurips.cc/paper/2020/hash/56f9f88906aebf4ad985aaec7fa01313-Abstract.html,2020,NeurIPS,"Cher Bass, Mariana da Silva, Carole H. Sudre, Petru-Daniel Tudosiu, Stephen M. Smith, Emma C. Robinson",Images,"Model Inspection, Outcome Explanation",(Deep) Neural Network,"Classification, Representation learning",Heatmap,Post-hoc explanation method,Yes,Yes
nips/CrabbeZZS20,Learning outside the Black-Box - The pursuit of interpretable models.,https://proceedings.neurips.cc/paper/2020/hash/ce758408f6ef98d7c7a7b786eca7b3a8-Abstract.html,2020,NeurIPS,"Jonathan Crabbé, Yao Zhang, William R. Zame, Mihaela van der Schaar",Tabular / structured,Model Explanation,"(Deep) Neural Network, Support Vector Machine, Any (for a specific task); model-agnostic",Classification,Feature Importance,Post-hoc explanation method,Yes,Yes
nips/FryeRF20,Asymmetric Shapley values - incorporating causal knowledge into model-agnostic explainability.,https://proceedings.neurips.cc/paper/2020/hash/0d770c496aa3da6d2c3f2bd19e7b9d6b-Abstract.html,2020,NeurIPS,"Christopher Frye, Colin Rowat, Ilya Feige","Tabular / structured, Time series, Any","Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,Feature Importance,Post-hoc explanation method,Yes,Yes
nips/HarkonenHLP20,GANSpace - Discovering Interpretable GAN Controls.,https://proceedings.neurips.cc/paper/2020/hash/6fe43269967adbb64ec6149852b5cc3e-Abstract.html,2020,NeurIPS,"Erik Härkönen, Aaron Hertzmann, Jaakko Lehtinen, Sylvain Paris",Images,Model Inspection,(Deep) Neural Network,Generation,"Disentanglement, Representation Synthesis",Post-hoc explanation method,Yes,Yes
nips/HeskesSBC20,Causal Shapley Values - Exploiting Causal Knowledge to Explain Individual Predictions of Complex Models.,https://proceedings.neurips.cc/paper/2020/hash/32e54441e6382a7fbacbbbaf3c450059-Abstract.html,2020,NeurIPS,"Tom Heskes, Evi Sijben, Ioan Gabriel Bucur, Tom Claassen","Time series, Any",Outcome Explanation,Any (for a specific task); model-agnostic,"Classification, Regression",Feature Importance,Post-hoc explanation method,Yes,Yes
nips/JainVMLTH20,Interpretable multi-timescale models for predicting fMRI responses to continuous natural speech.,https://proceedings.neurips.cc/paper/2020/hash/9e9a30b74c49d07d8150c8c83b1ccf07-Abstract.html,2020,NeurIPS,"Shailee Jain, Vy A. Vo, Shivangi Mahto, Amanda LeBel, Javier S. Turek, Alexander Huth",Time series,Outcome Explanation,(Deep) Neural Network,"Classification, Regression",Heatmap,Interpretability built into the predictive model,Yes,Yes
nips/LuoCXYZC020,Parameterized Explainer for Graph Neural Network.,https://proceedings.neurips.cc/paper/2020/hash/e37b08dd3015330dcbb5d6663667b8b8-Abstract.html,2020,NeurIPS,"Dongsheng Luo, Wei Cheng 0002, Dongkuan Xu, Wenchao Yu, Bo Zong, Haifeng Chen, Xiang Zhang 0001",Graph data,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,"Graph, Feature Importance",Post-hoc explanation method,Yes,Yes
nips/MuA20,Compositional Explanations of Neurons.,https://proceedings.neurips.cc/paper/2020/hash/c74956ffb38ba48ed6ce977af6727275-Abstract.html,2020,NeurIPS,"Jesse Mu, Jacob Andreas","Images, Text",Model Inspection,(Deep) Neural Network,Classification,"Decision Rules, Localization",Post-hoc explanation method,Yes,Yes
nips/OShaughnessyCCR20,Generative causal explanations of black-box classifiers.,https://proceedings.neurips.cc/paper/2020/hash/3a93a609b97ec0ab0ff5539eb79ef33a-Abstract.html,2020,NeurIPS,"""Matthew R. OShaughnessy"", Gregory Canal, Marissa Connor, Christopher Rozell, Mark A. Davenport","Images, Any","Model Inspection, Outcome Explanation",Any (for a specific task); model-agnostic,Classification,"Disentanglement, Graph, Representation Synthesis",Post-hoc explanation method,Yes,Yes
nips/PedapatiBSD20,Learning Global Transparent Models consistent with Local Contrastive Explanations.,https://proceedings.neurips.cc/paper/2020/hash/24aef8cb3281a2422a59b51659f1ad2e-Abstract.html,2020,NeurIPS,"Tejaswini Pedapati, Avinash Balakrishnan, Karthikeyan Shanmugam, Amit Dhurandhar",Tabular / structured,Model Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,Decision Tree,Post-hoc explanation method,Yes,Yes
nips/RamamurthyVZD20,Model Agnostic Multilevel Explanations.,https://proceedings.neurips.cc/paper/2020/hash/426f990b332ef8193a61cc90516c1245-Abstract.html,2020,NeurIPS,"Karthikeyan Natesan Ramamurthy, Bhanukiran Vinzamuri, Yunfeng Zhang, Amit Dhurandhar",Tabular / structured,"Model Inspection, Outcome Explanation","(Deep) Neural Network, Tree Ensemble, Any (for a specific task); model-agnostic","Classification, Regression",Feature Importance,Post-hoc explanation method,Yes,Yes
nips/RawalL20,Beyond Individualized Recourse - Interpretable and Interactive Summaries of Actionable Recourses.,https://proceedings.neurips.cc/paper/2020/hash/8ee7730e97c67473a424ccfeff49ab20-Abstract.html,2020,NeurIPS,"Kaivalya Rawal, Himabindu Lakkaraju",Tabular / structured,Model Explanation,"(Deep) Neural Network, Tree Ensemble, Any (for a specific task); model-agnostic, Logistic Regression",Classification,Decision Rules,Post-hoc explanation method,Yes,Yes
nips/TsangR020,How does This Interaction Affect Me? Interpretable Attribution for Feature Interactions.,https://proceedings.neurips.cc/paper/2020/hash/443dec3062d0286986e21dc0631734c9-Abstract.html,2020,NeurIPS,"Michael Tsang, Sirisha Rambhatla, Yan Liu 0002","Images, Text, Any",Outcome Explanation,(Deep) Neural Network,Classification,Feature Importance,Post-hoc explanation method,Yes,Yes
nips/TsengSK20,Fourier-transform-based attribution priors improve the interpretability and stability of deep learning models for genomics.,https://proceedings.neurips.cc/paper/2020/hash/1487987e862c44b91a0296cf3866387e-Abstract.html,2020,NeurIPS,"Alex Tseng, Avanti Shrikumar, Anshul Kundaje","Any, Other",Outcome Explanation,Other,Classification,Feature Importance,Interpretability built into the predictive model,Yes,Yes
nips/Yau0H20,What Did You Think Would Happen? Explaining Agent Behaviour through Intended Outcomes.,https://proceedings.neurips.cc/paper/2020/hash/d5ab8dc7ef67ca92e41d730982c5c602-Abstract.html,2020,NeurIPS,"Herman Yau, Chris Russell 0001, Simon Hadfield",Other,Outcome Explanation,Other,Policy learning,Heatmap,Post-hoc explanation method,Yes,Yes
nips/YehKALPR20,On Completeness-aware Concept-Based Explanations in Deep Neural Networks.,https://proceedings.neurips.cc/paper/2020/hash/ecb287ff763c169694f682af52c1f309-Abstract.html,2020,NeurIPS,"Chih-Kuan Yeh, Been Kim, Sercan Ömer Arik, Chun-Liang Li, Tomas Pfister, Pradeep Ravikumar","Images, Text, Any",Model Inspection,(Deep) Neural Network,Classification,"Feature Importance, Prototypes",Post-hoc explanation method,Yes,Yes
nips/ZhouW20,Learning identifiable and interpretable latent models of high-dimensional neural activity using pi-VAE.,https://proceedings.neurips.cc/paper/2020/hash/510f2318f324cf07fce24c3a4b89c771-Abstract.html,2020,NeurIPS,"Ding Zhou, Xue-Xin Wei",Time series,Outcome Explanation,(Deep) Neural Network,Other,"Representation Visualization, Feature plot",Interpretability built into the predictive model,Yes,Yes
sigir/ChenYYH0020,Try This Instead - Personalized and Interpretable Substitute Recommendation.,https://doi.org/10.1145/3397271.3401042,2020,SIGIR,"Tong Chen 0005, Hongzhi Yin, Guanhua Ye, Zi Huang, Yang Wang 0023, Meng Wang 0001","Text, User-item matrix",Outcome Explanation,(Deep) Neural Network,Recommendation,"Feature Importance, Text",Interpretability built into the predictive model,Yes,Yes
sigir/QuAW20,Towards Explainable Retrieval Models for Precision Medicine Literature Search.,https://doi.org/10.1145/3397271.3401277,2020,SIGIR,"Jiaming Qu, Jaime Arguello, Yue Wang 0035",Text,Transparent Box Design,Other,Retrieval,Decision Tree,Interpretability built into the predictive model,Yes,Yes
sigir/YangZWL020,Neural Concept Map Generation for Effective Document Classification with Interpretable Structured Summarization.,https://doi.org/10.1145/3397271.3401312,2020,SIGIR,"Carl Yang, Jieyu Zhang, Haonan Wang, Bangzheng Li, Jiawei Han 0001",Text,Outcome Explanation,(Deep) Neural Network,Classification,"Graph, Text",Interpretability built into the predictive model,Yes,Yes
www/LiJC0WL20,Directional and Explainable Serendipity Recommendation.,https://doi.org/10.1145/3366423.3380100,2020,WWW,"Xueqi Li, Wenjun Jiang, Weiguang Chen, Jie Wu 0001, Guojun Wang 0001, Kenli Li 0001",User-item matrix,Outcome Explanation,(Deep) Neural Network,Recommendation,"Localization, Text",Post-hoc explanation method,Yes,Yes
www/MathewSLS20,The POLAR Framework - Polar Opposites Enable Interpretability of Pre-Trained Word Embeddings.,https://doi.org/10.1145/3366423.3380227,2020,WWW,"Binny Mathew, Sandipan Sikdar, Florian Lemmerich, Markus Strohmaier",Text,Outcome Explanation,"Tree Ensemble, Any (for a specific task); model-agnostic",Classification,Disentanglement,Post-hoc explanation method,Yes,Yes
www/NaumzikZF20,Mining Points-of-Interest for Explaining Urban Phenomena - A Scalable Variational Inference Approach.,https://doi.org/10.1145/3366423.3380298,2020,WWW,"Christof Naumzik, Patrick Zoechbauer, Stefan Feuerriegel",Other,Transparent Box Design,Other,Other,"Feature Importance, Feature plot, Heatmap",Interpretability built into the predictive model,Yes,Yes
www/PawelczykBK20,Learning Model-Agnostic Counterfactual Explanations for Tabular Data.,https://doi.org/10.1145/3366423.3380087,2020,WWW,"Martin Pawelczyk, Klaus Broelemann, Gjergji Kasneci",Tabular / structured,Outcome Explanation,"Any (for a specific task); model-agnostic, Logistic Regression",Classification,Representation Synthesis,Post-hoc explanation method,Yes,Yes
www/SunWZFHW20,Dual Learning for Explainable Recommendation - Towards Unifying User Preference Prediction and Review Generation.,https://doi.org/10.1145/3366423.3380164,2020,WWW,"Peijie Sun, Le Wu, Kun Zhang, Yanjie Fu, Richang Hong, Meng Wang 0001","Text, User-item matrix",Outcome Explanation,(Deep) Neural Network,Recommendation,Text,Supervised explanation training,Yes,Yes
www/WangZZSP20,DyCRS - Dynamic Interpretable Postoperative Complication Risk Scoring.,https://doi.org/10.1145/3366423.3380253,2020,WWW,"Wen Wang, Han Zhao 0002, Honglei Zhuang, Nirav Shah, Rema Padman","Tabular / structured, Time series",Transparent Box Design,Other,Classification,White-box model,Interpretability built into the predictive model,Yes,Yes
www/ZhuXSZCGH20,Modeling Users' Behavior Sequences with Hierarchical Explainable Network for Cross-domain Fraud Detection.,https://doi.org/10.1145/3366423.3380172,2020,WWW,"Yongchun Zhu, Dongbo Xi, Bowen Song, Fuzhen Zhuang, Shuai Chen, Xi Gu, Qing He 0003",Other,Outcome Explanation,(Deep) Neural Network,Classification,Feature Importance,Interpretability built into the predictive model,Yes,Yes
aaai/AnnasamyS19,Towards Better Interpretability in Deep Q-Networks.,https://doi.org/10.1609/aaai.v33i01.33014561,2019,AAAI,"Raghuram Mandyam Annasamy, Katia P. Sycara","Images, Other",Model Inspection,(Deep) Neural Network,Policy learning,"Disentanglement, Heatmap, Representation Visualization",Interpretability built into the predictive model,Yes,Yes
aaai/ChenZQ19,Dynamic Explainable Recommendation Based on Neural Attentive Models.,https://doi.org/10.1609/aaai.v33i01.330153,2019,AAAI,"Xu Chen 0017, Yongfeng Zhang, Zheng Qin","Text, User-item matrix",Outcome Explanation,(Deep) Neural Network,Recommendation,Localization,Interpretability built into the predictive model,Yes,Yes
aaai/GaoWW019,Explainable Recommendation through Attentive Multi-View Learning.,https://doi.org/10.1609/aaai.v33i01.33013622,2019,AAAI,"Jingyue Gao, Xiting Wang, Yasha Wang, Xing Xie 0001","Text, User-item matrix",Outcome Explanation,(Deep) Neural Network,Recommendation,"Localization, Text",Interpretability built into the predictive model,Yes,Yes
aaai/HeLSB19,Interpretable Predictive Modeling for Climate Variables with Weighted Lasso.,https://doi.org/10.1609/aaai.v33i01.33011385,2019,AAAI,"Sijie He, Xinyan Li, Vidyashankar Sivakumar, Arindam Banerjee 0001",Time series,Transparent Box Design,Other,Regression,White-box model,Interpretability built into the predictive model,Yes,Yes
aaai/IgnatievNM19,Abduction-Based Explanations for Machine Learning Models.,https://doi.org/10.1609/aaai.v33i01.33011511,2019,AAAI,"Alexey Ignatiev, Nina Narodytska, João Marques-Silva 0001","Tabular / structured, Images",Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,Localization,Post-hoc explanation method,Yes,Yes
aaai/LanG19,Accurate and Interpretable Factorization Machines.,https://doi.org/10.1609/aaai.v33i01.33014139,2019,AAAI,"Liang Lan, Yu Geng 0002","Tabular / structured, Text",Transparent Box Design,Other,Classification,"Feature Importance, Heatmap",Interpretability built into the predictive model,Yes,Yes
aaai/LyuYLG19,SDRL - Interpretable and Data-Efficient Deep Reinforcement Learning Leveraging Symbolic Planning.,https://doi.org/10.1609/aaai.v33i01.33012970,2019,AAAI,"Daoming Lyu, Fangkai Yang, Bo Liu, Steven Gustafson",Images,Model Inspection,(Deep) Neural Network,Policy learning,Other,Interpretability built into the predictive model,Yes,Yes
aaai/PolatoA19,Interpretable Preference Learning - A Game Theoretic Framework for Large Margin On-Line Feature and Rule Learning.,https://doi.org/10.1609/aaai.v33i01.33014723,2019,AAAI,"Mirko Polato, Fabio Aiolli","Tabular / structured, Images",Transparent Box Design,Other,Classification,"Decision Rules, Representation Visualization",Interpretability built into the predictive model,Yes,Yes
aaai/ShakerinG19,Induction of Non-Monotonic Logic Programs to Explain Boosted Tree Models Using LIME.,https://doi.org/10.1609/aaai.v33i01.33013052,2019,AAAI,"Farhad Shakerin, Gopal Gupta","Tabular / structured, Any",Model Inspection,Tree Ensemble,Classification,Decision Rules,Post-hoc explanation method,Yes,Yes
aaai/SilvaFH19,Exploring Knowledge Graphs in an Interpretable Composite Approach for Text Entailment.,https://doi.org/10.1609/aaai.v33i01.33017023,2019,AAAI,"Vivian Dos Santos Silva, André Freitas, Siegfried Handschuh",Text,Outcome Explanation,Other,Classification,"Graph, Text",Post-hoc explanation method,Yes,Yes
aaai/TopinV19,Generation of Policy-Level Explanations for Reinforcement Learning.,https://doi.org/10.1609/aaai.v33i01.33012514,2019,AAAI,"Nicholay Topin, Manuela Veloso",Other,Outcome Explanation,Other,Policy learning,"Graph, Feature Importance",Post-hoc explanation method,Yes,Yes
aaai/WangWX00C19,Explainable Reasoning over Knowledge Graphs for Recommendation.,https://doi.org/10.1609/aaai.v33i01.33015329,2019,AAAI,"Xiang Wang 0010, Dingxian Wang, Canran Xu, Xiangnan He 0001, Yixin Cao 0002, Tat-Seng Chua","Graph data, User-item matrix",Transparent Box Design,(Deep) Neural Network,Recommendation,"Graph, Text",Interpretability built into the predictive model,Yes,Yes
aaai/WickramanayakeH19,FLEX - Faithful Linguistic Explanations for Neural Net Based Model Decisions.,https://doi.org/10.1609/aaai.v33i01.33012539,2019,AAAI,"Sandareka Wickramanayake, Wynne Hsu, Mong-Li Lee",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Heatmap, Text",Post-hoc explanation method,Yes,Yes
aaai/YuanCHJ19,Interpreting Deep Models for Text Analysis via Optimization and Regularization Methods.,https://doi.org/10.1609/aaai.v33i01.33015717,2019,AAAI,"Hao Yuan, Yongjun Chen, Xia Hu, Shuiwang Ji",Text,Model Inspection,(Deep) Neural Network,Classification,"Prototypes, Representation Visualization",Post-hoc explanation method,Yes,Yes
acl/BastingsAT19,Interpretable Neural Predictions with Differentiable Binary Variables.,https://doi.org/10.18653/v1/p19-1284,2019,ACL,"Jasmijn Bastings, Wilker Aziz, Ivan Titov",Text,"Outcome Explanation, Transparent Box Design",(Deep) Neural Network,"Classification, Regression","Localization, Text, White-box model",Interpretability built into the predictive model,Yes,Yes
acl/JiangJCB19,"Explore, Propose, and Assemble - An Interpretable Model for Multi-Hop Reading Comprehension.",https://doi.org/10.18653/v1/p19-1261,2019,ACL,"Yichen Jiang, Nitish Joshi, Yen-Chun Chen 0001, Mohit Bansal",Text,Transparent Box Design,(Deep) Neural Network,Question Answering,Localization,Interpretability built into the predictive model,Yes,Yes
acl/LuZXLZX19,Constructing Interpretive Spatio-Temporal Features for Multi-Turn Responses Selection.,https://doi.org/10.18653/v1/p19-1006,2019,ACL,"Junyu Lu, Chenbin Zhang, Zeying Xie, Guang Ling, Tom Chao Zhou, Zenglin Xu",Text,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,Interpretability built into the predictive model,Yes,Yes
acl/MoonSKS19,OpenDialKG - Explainable Conversational Reasoning with Attention-based Walks over Knowledge Graphs.,https://doi.org/10.18653/v1/p19-1081,2019,ACL,"Seungwhan Moon, Pararth Shah, Anuj Kumar, Rajen Subba",Text,Outcome Explanation,(Deep) Neural Network,Generation,Graph,Interpretability built into the predictive model,Yes,Yes
acl/PanigrahiSB19,Word2Sense - Sparse Interpretable Word Embeddings.,https://doi.org/10.18653/v1/p19-1570,2019,ACL,"Abhishek Panigrahi, Harsha Vardhan Simhadri, Chiranjib Bhattacharyya",Text,Model Inspection,"Tree Ensemble, Support Vector Machine, Any (for a specific task); model-agnostic, Logistic Regression","Classification, Representation learning, Other",Disentanglement,Interpretability built into the predictive model,Yes,Yes
acl/RajaniMXS19,Explain Yourself! Leveraging Language Models for Commonsense Reasoning.,https://doi.org/10.18653/v1/p19-1487,2019,ACL,"Nazneen Fatema Rajani, Bryan McCann, Caiming Xiong, Richard Socher",Text,Outcome Explanation,(Deep) Neural Network,Question Answering,Text,"Post-hoc explanation method, Supervised explanation training",Yes,Yes
acl/SydorovaPR19,Interpretable Question Answering on Knowledge Bases and Text.,https://doi.org/10.18653/v1/p19-1488,2019,ACL,"Alona Sydorova, Nina Pörner, Benjamin Roth 0001","Tabular / structured, Text",Outcome Explanation,(Deep) Neural Network,Question Answering,Feature Importance,"Post-hoc explanation method, Interpretability built into the predictive model",Yes,Yes
